User_ID,User_Name,Platform,Date,State,Region,Followers,Views,Likes,Shares,Comments,Content_ID,Source,Revenue
2II826GY,Riya Chopra,Snapchat,24-04-2024,Telangana,South,296459,6407756,4219187,553181,219548,832ejx5td4,Sponsorship,285420.48
FQS3D635,Aarav Yadav,Twitter / X,22-03-2022,Tripura,Central,393127,3956699,3239896,85669,196612,ildzmfb7r3,Patrion,448877.17
6AHF7VP1,Sai Nair,Twitter / X,07-04-2020,Andhra Pradesh,South,251021,7044503,3835046,65958,58171,4rtwuzkamu,Collaboration,664539.12
SM8T2SA5,Aarav Yadav,Instagram,03-06-2021,Assam,North,375440,1134461,2892912,252938,384322,xdu1emmx3y,Patrion,631919.98
EZ7BH25L,Anaya Joshi,Snapchat,27-07-2024,Uttar Pradesh,North,570408,7943330,2125449,38499,394991,xk5bxj2pop,Patrion,339367.11
RR7S20CV,Aditya Joshi,Instagram,19-10-2021,Goa,West,108581,1344333,2751291,693124,155050,lvpymb5m9j,Sponsorship,75503.64
OS0FB4YP,Aditya Verma,Facebook,13-05-2024,Rajasthan,West,677502,6146971,3038439,401551,497844,uvy8n1utox,Collaboration,960539.79
0RNUJJQ9,Anaya Chopra,Facebook,08-09-2020,Andhra Pradesh,South,143321,1243387,3792508,181143,471216,z9389yztkk,Collaboration,711953.2
W2SEHE2A,Aryan Das,Instagram,15-08-2022,Tamil Nadu,South,843700,9256099,1089099,641774,463649,dl9zs13c9x,Patrion,466100.28
M52XG8P6,Aarav Verma,YouTube,09-11-2020,Mizoram,East,173655,2718354,2707174,980243,371944,i8skch8jww,Sponsorship,502821.86
VUGW6M7B,Aarav Verma,Twitter / X,06-08-2023,Goa,West,809475,9677615,2220594,682859,110574,1oxrwk8r2y,Consultancy,453817.36
CPRHVLZ0,Diya Yadav,Facebook,06-04-2024,Tamil Nadu,South,389539,8640932,4711971,111441,167358,ieqfb85p86,Consultancy,933784.66
L1RSRLA8,Aryan Chopra,Facebook,16-03-2021,Telangana,South,612680,5921597,408674,53095,147561,r5xqt4p501,Consultancy,45719.77
UHTCS1K9,Riya Verma,Facebook,17-07-2020,Arunachal Pradesh,West,392326,5689907,4679932,984658,191733,1hssbelrqv,Guest Appearance,140211.1
LOW4VSSR,Riya Nair,Snapchat,28-07-2024,Punjab,North,18445,6181018,2779139,706637,57514,9v20yar821,Guest Appearance,227929.45
VGWW4FYB,Vivaan Reddy,Twitter / X,22-06-2022,Arunachal Pradesh,East,440122,2541594,3464660,724142,106947,o1750cehlx,Guest Appearance,377136.36
QTTY5Y2J,Kavya Reddy,Facebook,25-07-2021,Goa,West,586196,5008984,1886821,987319,156085,1zyrru7zku,Guest Appearance,380004.34
382KKZMP,Anaya Chopra,Facebook,17-02-2021,Madhya Pradesh,Central,869170,9036838,2274926,978446,294709,zewviytwbo,Patrion,100994.63
E89FX5RX,Anaya Mehta,Instagram,15-08-2023,Tripura,North,953040,1501901,4816679,243600,280623,04b7p47b42,Collaboration,936640.44
75AUD9K9,Aryan Joshi,Snapchat,26-12-2024,West Bengal,East,985152,2252501,4230142,490855,143095,gefqjg02u1,Collaboration,611149.02
63SDYGFL,Sai Sharma,Instagram,24-02-2022,Rajasthan,West,247961,7495978,2240210,345737,158356,uujmiyqfy7,Consultancy,690445.23
6KWHEF0V,Ishaan Joshi,Snapchat,31-03-2024,Rajasthan,West,564628,3665338,2076390,713490,395750,v2stn7e36h,Guest Appearance,150277.46
4PYZR6QC,Aditya Joshi,Snapchat,24-07-2022,Karnataka,South,592303,969662,4688030,484938,352774,30o30ubmc9,Sponsorship,986144.18
BO119XP9,Ishaan Chopra,Snapchat,08-02-2022,Meghalaya,North,716894,9048957,1116099,685380,451087,mgtt0iaaky,Guest Appearance,424415.97
3IMJ70E3,Ishaan Das,Twitter / X,07-05-2021,Madhya Pradesh,Central,217092,1129954,846882,622895,17653,qy5ibpt11f,Consultancy,234544.44
UU13I59S,Ishaan Nair,Instagram,04-05-2020,Telangana,South,584761,9927527,1469623,656501,355910,pr97y2lofn,Guest Appearance,473782.06
I4FQCOOT,Ishaan Reddy,Instagram,20-02-2021,West Bengal,East,347305,1327581,3773585,888383,194601,d0gjyv5g10,Guest Appearance,217408.01
5L8A78E9,Kavya Reddy,YouTube,12-12-2023,Gujarat,West,215447,6655381,2008153,578997,168668,1ntmjsrd9q,Consultancy,914373.33
LB50ATVZ,Anaya Patel,Facebook,06-11-2021,Kerala,South,242192,6373653,4780240,873944,128883,rxyj38xrg2,Collaboration,140388.55
R7TXCB48,Aarav Sharma,Snapchat,08-10-2020,Nagaland,South,72269,2534857,77184,229444,265199,qcw76xatoa,Consultancy,535970.23
A3Y36DDF,Sai Das,YouTube,31-05-2021,Jharkhand,East,855814,5947534,2242982,833651,208138,c8qizk3c9x,Sponsorship,93953.76
NRWZC4XL,Vivaan Joshi,Twitter / X,15-04-2021,Madhya Pradesh,Central,222686,9510060,3989285,284363,24461,7yktxg4ahf,Patrion,928910.5
FI4O6L1F,Vivaan Joshi,Instagram,19-04-2020,Jharkhand,East,103430,7334124,1947865,879514,39905,m18o1bj9rm,Patrion,432132.02
VN1KICJN,Aditya Yadav,Instagram,08-01-2022,Sikkim,North,96966,88161,2586434,466439,188750,1ddpusddtv,Consultancy,863786.32
KND669UG,Ishaan Patel,Facebook,04-07-2021,Andhra Pradesh,South,316759,4504118,4137123,153123,33220,gjk2n7zrwq,Collaboration,305005.67
LW2LM349,Aditya Nair,Instagram,20-05-2023,Madhya Pradesh,Central,994293,3370728,4018724,329545,93183,88kzruin3o,Sponsorship,932101.12
VTYT8QZP,Anaya Verma,Snapchat,10-10-2023,Gujarat,West,524557,2336038,2540844,253877,132527,xz2c9ros7y,Guest Appearance,37246.78
Z3V6DIXF,Riya Sharma,YouTube,14-08-2023,Kerala,South,711380,6705473,2782134,835008,225732,ddh0uyhnqy,Guest Appearance,151169.56
RK7D30MM,Sai Joshi,Snapchat,14-12-2021,Andhra Pradesh,South,500292,1638842,3676102,757165,365354,qcbzamd270,Guest Appearance,174866.01
LPQ2WGXO,Riya Reddy,Snapchat,27-04-2023,Goa,West,451418,6524581,37829,739068,112665,h13cd5glqj,Patrion,527951.16
LNOEMQGY,Anaya Das,YouTube,22-06-2020,Rajasthan,West,705758,2248270,2627692,123686,125130,kgyspengwy,Collaboration,555135.12
KG4W58RH,Ishaan Joshi,YouTube,30-08-2023,Meghalaya,West,430008,8250791,3487060,744738,440395,pgu2hbik2u,Patrion,549951.32
UJT9T11P,Sai Yadav,Twitter / X,16-02-2024,Bihar,East,871392,4153891,2497863,917404,16948,qm3p91i3vm,Guest Appearance,632954.25
W232UTVG,Anaya Nair,YouTube,01-07-2021,Goa,West,999660,8631451,799306,142275,393315,2795e5iz31,Patrion,489714
WWNC21O0,Diya Chopra,Snapchat,01-11-2021,Odisha,East,611224,42491,781828,766537,240409,wz42o83rlk,Guest Appearance,578144.67
4261BW4A,Aditya Chopra,Snapchat,02-01-2020,Odisha,East,449580,3395336,1107067,925098,340835,k55dmcxxbw,Collaboration,429516.33
ZAREIYAZ,Vivaan Yadav,Facebook,05-09-2022,Assam,North,241068,6427846,749863,766360,422603,dl5e11e9ft,Sponsorship,610514.08
P0WFOY4D,Vivaan Patel,Twitter / X,22-04-2023,Goa,West,766470,6443986,2949394,450346,164940,2ixivzk7a4,Consultancy,205843
S0KB68RE,Kavya Das,Twitter / X,17-12-2022,Punjab,North,932895,203450,3029611,979390,165972,e4uny181ac,Consultancy,216135.07
8OKZ1POX,Aryan Das,Facebook,22-07-2021,Arunachal Pradesh,North,325960,1326761,4289634,965759,106584,9flv1xxlp8,Collaboration,58376.99
7EWBXXGA,Aditya Sharma,Facebook,13-10-2022,Assam,East,549410,8678559,2175221,175173,195016,e2j51b3jcz,Guest Appearance,627719.07
QMRUNJDU,Vivaan Reddy,YouTube,06-01-2020,Meghalaya,North,901400,207159,2051946,48315,247390,n7g8b2zxii,Consultancy,271622.33
UEYBISBO,Kavya Nair,Instagram,01-11-2021,Assam,North,580958,7663929,67350,386939,105259,k20in8910t,Collaboration,150991.09
ATWYAM1N,Anaya Verma,Facebook,21-12-2022,Maharashtra,West,250736,7044341,4127937,62904,74694,zd76szn9dd,Collaboration,637397.07
CUP8IJL2,Diya Mehta,Snapchat,10-07-2021,Madhya Pradesh,Central,245959,1254047,1700976,142823,408961,1ddqlem1qq,Sponsorship,90875.68
Y3ZB4LDI,Diya Yadav,YouTube,10-04-2020,Uttar Pradesh,North,711078,5014715,2182937,860026,91206,boq0iq2fa3,Collaboration,131149.88
OY7DV7C9,Sai Chopra,Facebook,07-07-2020,Uttarakhand,North,950043,5563484,1028336,44870,494076,qgu3obyghg,Consultancy,446288.42
BWIKOTCK,Aditya Yadav,Facebook,09-08-2023,Chhattisgarh,Central,928625,8822696,2090502,661493,420617,tanzr2mulj,Sponsorship,319218.13
B3K3QMVI,Aditya Verma,Facebook,07-09-2023,Haryana,North,253867,4472581,4477412,856037,414886,7c9h42m44g,Guest Appearance,318345.37
Z6BZ8UUG,Kavya Joshi,Instagram,25-12-2020,Telangana,South,515259,637925,757633,58996,122011,varlw3mg25,Sponsorship,22401.94
ZFDSNCZX,Riya Verma,Instagram,10-09-2021,Odisha,East,339273,2290279,1321738,768026,497438,pxrlzu6wmx,Collaboration,378694.92
YE088O98,Aarav Patel,YouTube,13-10-2021,Telangana,South,966778,3707007,4744679,109267,491144,rlcmlw83y0,Consultancy,446906.62
HYM2ZBPP,Aditya Yadav,Snapchat,10-12-2024,Himachal Pradesh,North,398108,5893681,4580881,393680,53227,32u1iq2baj,Sponsorship,74663.3
5FC79M96,Aarav Yadav,Facebook,28-05-2023,Goa,West,933973,7285673,1318382,56257,53138,l9ot7txkdo,Guest Appearance,839934.58
BAD3WRDH,Anaya Verma,Snapchat,24-09-2024,Chhattisgarh,Central,122119,5174311,3334697,493921,256477,6jxnnngbpj,Consultancy,564464.46
1YDMT8VT,Ishaan Joshi,Snapchat,01-01-2023,Chhattisgarh,Central,721442,7967231,4804775,924581,123594,rc6zs62ywe,Patrion,173292.53
83EP9P9W,Riya Nair,Instagram,29-01-2024,Goa,West,959580,1125274,730539,407051,291745,oljq52wspo,Collaboration,566810.63
177UDKTM,Ishaan Nair,Snapchat,03-09-2023,Odisha,East,510172,9597957,3968702,39385,90332,jfvyb6li07,Consultancy,20722.77
2L44Y9IK,Kavya Mehta,Instagram,01-02-2024,Uttarakhand,North,438017,1498984,1577018,463273,110879,6orsnc2czo,Guest Appearance,879392.93
G5HCBBMH,Diya Chopra,YouTube,23-03-2022,Andhra Pradesh,South,667275,2079241,256882,253790,195329,rq8rtm4j3d,Sponsorship,386872.39
42HHIHXS,Aarav Chopra,Facebook,18-08-2023,Goa,West,182614,142997,1877619,264750,318997,2k8xpnmjqy,Guest Appearance,397453.96
A984UVKY,Kavya Verma,Instagram,20-07-2021,Bihar,East,672712,5455894,2323179,273932,344045,z6kf1622vx,Collaboration,721422.56
RK6O0U93,Diya Reddy,YouTube,31-07-2023,Rajasthan,West,824024,7982512,3007791,532058,157438,445gdej31g,Consultancy,654607.43
M0L2LJK4,Kavya Sharma,YouTube,03-04-2023,Haryana,North,991171,1195801,3961765,932730,102046,s5nkb4ehou,Patrion,143652.54
Z2RWGWAJ,Aditya Das,Facebook,29-09-2022,West Bengal,East,824353,1478088,1086035,644428,227439,wo8nbhnal3,Collaboration,18407.17
WIYMENVG,Aarav Nair,Instagram,22-07-2022,Andhra Pradesh,South,764187,8729991,4397117,354345,227415,59m6mg87oi,Collaboration,211584.63
VGNXB5JT,Aarav Das,Twitter / X,17-09-2023,Andhra Pradesh,South,114365,332211,405124,723355,60757,pntrfzwkxx,Consultancy,622986.38
E3DZEEDH,Sai Nair,YouTube,17-02-2021,Tamil Nadu,South,376308,6875568,2478085,168263,20709,t6yriaddur,Sponsorship,779636.46
0DJI9KQD,Aditya Sharma,Instagram,07-01-2022,Assam,East,447688,1945497,797404,892696,397567,6aexl68j0n,Consultancy,183277.99
OQ4YRP5G,Aditya Sharma,Facebook,31-07-2020,Madhya Pradesh,Central,437236,9912145,4049470,841335,298340,ygnmby49e7,Sponsorship,887650.13
BJLZY1UU,Diya Joshi,YouTube,10-11-2023,Manipur,Central,100868,7262982,2085714,505439,181322,xxf36wa7sq,Patrion,869480.93
1LLKSTN3,Vivaan Chopra,Snapchat,28-06-2024,Assam,Central,470865,1477728,4181853,468884,165757,erxdouadvw,Consultancy,890165.84
HY8NBIQU,Riya Das,Snapchat,07-01-2024,Nagaland,East,751689,7593234,956997,102270,398152,xamw2tnd6r,Patrion,107408.02
HE4H3GM1,Aarav Das,Twitter / X,30-04-2024,Punjab,North,936072,7559212,3837347,690541,309021,8ertb74rs7,Collaboration,691971.8
0ENV5SN9,Sai Nair,Snapchat,03-12-2021,Goa,West,309463,7598490,1119304,144992,216447,v5s4tl0thh,Consultancy,686767.99
EZ9GTWZ1,Aryan Chopra,YouTube,14-03-2023,Sikkim,West,707995,8958402,2399037,920201,444279,padnbcj29y,Collaboration,839462.12
2HTMQWYU,Sai Joshi,Snapchat,01-05-2021,Tamil Nadu,South,536740,4826775,394595,971589,200109,n89ltajw25,Collaboration,911530.63
ZNV0H0GQ,Vivaan Patel,Facebook,14-02-2024,Tamil Nadu,South,539807,2003424,3164668,42708,224711,kjf4aq7b7v,Guest Appearance,843218.41
RUM2LHGC,Aryan Patel,Snapchat,17-01-2023,Jharkhand,East,564123,6769215,771795,366475,116021,5xlk8wru1x,Sponsorship,669104
IX7IB5N2,Vivaan Yadav,Instagram,11-01-2023,Manipur,East,26905,8672603,3145876,539392,420957,srkxlcd81t,Sponsorship,211176.08
15PDTZ91,Vivaan Patel,Twitter / X,29-07-2022,Rajasthan,West,752690,5566260,318313,91872,38453,b2uuijnwpa,Sponsorship,535066.95
ZC0B4MSK,Anaya Das,Twitter / X,30-07-2021,Rajasthan,West,803448,7343987,3200028,414406,431078,xrteo2t8fy,Consultancy,957412.95
TTEAVT8K,Diya Reddy,Snapchat,15-08-2023,Andhra Pradesh,South,893819,8600207,1195500,168872,96515,h4gg24479q,Guest Appearance,73608
CD0RLEXD,Riya Verma,Facebook,12-10-2021,Sikkim,West,473536,5509733,2564691,727243,306323,fu38gl2zxj,Consultancy,134738.68
LRQ1RDXC,Anaya Patel,YouTube,06-02-2021,Telangana,South,277021,1283825,633000,935540,9817,4w3u1hbj6t,Collaboration,366135.72
6V4ESDNA,Sai Das,Facebook,30-03-2024,Haryana,North,540111,2356029,3743668,167056,93973,uu5f07b1ij,Collaboration,43287.04
S2N75BXD,Aryan Nair,Instagram,31-03-2023,Gujarat,West,571792,9566700,1458857,395056,342764,nv6cj9io3m,Patrion,887228.36
SFFCXHGN,Vivaan Reddy,Snapchat,19-07-2024,Andhra Pradesh,South,347265,1902507,4039754,708129,251086,rvxoieves6,Collaboration,56384.05
7SO8W503,Vivaan Reddy,Snapchat,27-05-2023,Himachal Pradesh,North,495312,8082054,1431317,230119,435399,ofu1wsgy7v,Sponsorship,230198.88
EAS6Y3VG,Riya Das,Twitter / X,02-12-2024,Madhya Pradesh,Central,822945,8916915,4222731,789030,61662,dx6ta7ypp5,Guest Appearance,429241.79
R1M264UP,Anaya Chopra,Facebook,25-10-2024,Uttar Pradesh,North,88889,4753426,4561646,428597,135214,gz2ueaxyln,Collaboration,426358.55
J4PNJY1O,Aryan Chopra,Facebook,28-01-2022,Odisha,East,587252,9310867,4058574,266205,160824,u1oe5ei28d,Guest Appearance,400860.63
2WYBOW23,Kavya Das,Snapchat,29-06-2020,Karnataka,South,68193,4414951,1860843,388948,42013,v07oxk8c1g,Patrion,439252.56
47SH2SZW,Aarav Mehta,Facebook,03-09-2023,Gujarat,West,1301,2642484,728990,289440,408823,oyohaz7t0u,Guest Appearance,348421.2
JVH7UJOD,Vivaan Joshi,Instagram,27-11-2021,Uttarakhand,North,994017,1964085,4306260,270311,459385,t2jpnrim1y,Guest Appearance,862092.27
ECW9YIL8,Aryan Joshi,Twitter / X,06-12-2023,Meghalaya,East,261316,4820919,780719,418409,353261,0mtglhug07,Collaboration,499249.84
IIJI44M2,Vivaan Verma,Snapchat,11-06-2023,Gujarat,West,7945,9085425,355028,889303,252909,nl65ujg1so,Guest Appearance,128681.83
2RTSOYG9,Aryan Chopra,Instagram,12-11-2023,Mizoram,North,13394,3536838,3183372,609331,52870,lwjtiqwnrh,Consultancy,365395.45
KGEUIDJI,Ishaan Yadav,Facebook,25-10-2020,Madhya Pradesh,Central,839900,2510000,3968202,844904,5157,gr94sz2kuu,Patrion,99425.31
C3RWQMMU,Anaya Mehta,Twitter / X,23-04-2022,Goa,West,128126,5891320,1669481,604975,301984,xt9kls1qcw,Patrion,631896.33
5X7PWO6C,Diya Reddy,Instagram,10-10-2021,Chhattisgarh,Central,685733,4889148,2244221,634892,338029,o5270sqg4e,Collaboration,662191.54
ZCGDC5TA,Ishaan Joshi,Twitter / X,31-07-2020,Telangana,South,276201,2606071,707754,686741,488471,5likwe4bx4,Consultancy,864309.02
9TJQ8ZGV,Riya Yadav,YouTube,03-08-2023,Manipur,Central,325703,5825517,4040887,565983,119130,2pnjka34mq,Sponsorship,687926.08
8RAPKIAN,Ishaan Joshi,Snapchat,19-03-2022,Meghalaya,South,172200,6539471,3174397,231407,137927,cws2wyjxtj,Collaboration,853555.28
EDQQZRLF,Aryan Sharma,Facebook,28-07-2020,Goa,West,296818,4517344,1049404,750037,229906,0ifrml29q2,Consultancy,80682.99
8C1CQG43,Aarav Verma,Facebook,27-02-2022,Tripura,West,260168,563209,1671341,483320,385570,1s9ryllwb7,Guest Appearance,122580.44
WH55HEWL,Aditya Nair,YouTube,02-09-2020,Meghalaya,West,828477,4079362,75409,44133,304701,2rvndfdw79,Sponsorship,60245.24
FTDRLUXM,Kavya Reddy,Twitter / X,12-11-2023,Rajasthan,West,397119,6010053,1130715,262974,471208,bzutrutlq5,Guest Appearance,914516.76
FTQ3TQ1S,Aditya Sharma,YouTube,20-10-2024,Nagaland,East,814712,4007173,2690677,756127,33259,xtnsrtwlxd,Guest Appearance,659061.58
4E5HRDU4,Kavya Joshi,YouTube,07-12-2023,Arunachal Pradesh,Central,269371,824520,3073700,231544,317744,za7x73qxm0,Patrion,822115.5
Z3JBCK88,Vivaan Verma,Facebook,24-12-2022,Uttar Pradesh,North,405048,3179618,1620503,551852,344442,iwg0odwmqx,Sponsorship,167225.91
TSXTV76T,Diya Mehta,Snapchat,14-04-2024,Goa,West,665001,7225069,2713802,638067,126257,uh17j8qo09,Guest Appearance,16794.3
9KKH4A3Y,Anaya Joshi,YouTube,13-02-2023,Chhattisgarh,Central,599388,9591055,1298341,98967,19834,qfj6ijkuuh,Sponsorship,723718.74
RR6Z3DXB,Riya Yadav,Twitter / X,16-05-2024,Uttar Pradesh,North,59639,5611127,2919150,922629,428467,p7e1047wwb,Guest Appearance,41661.66
ULZFY981,Riya Joshi,Twitter / X,30-03-2021,Nagaland,West,304859,6616632,1242118,138710,176298,cubods1eeu,Patrion,395621.14
HW0IC1L7,Vivaan Verma,Snapchat,17-05-2022,Odisha,East,384010,5844636,1598443,336418,180680,vak9w9pfb3,Collaboration,685516.55
14EB8753,Aarav Mehta,Twitter / X,16-09-2021,Chhattisgarh,Central,472923,7906261,191325,348097,109631,0ht1tw9zyn,Guest Appearance,43960.27
CHZJQ8CX,Diya Verma,Twitter / X,22-08-2021,Goa,West,910545,6485783,1939682,399294,266671,9dl5tgsq7a,Collaboration,922308.98
MOFMMWI9,Aryan Nair,Twitter / X,05-07-2023,Jharkhand,East,271196,6496644,247677,990099,290998,8imoe0sy5y,Patrion,240740.63
PLVQEXUY,Sai Patel,Instagram,11-11-2023,Chhattisgarh,Central,740389,8788997,1135080,451055,476628,9f77lu8el5,Sponsorship,765552.3
8K03W0FG,Aditya Patel,Twitter / X,10-04-2024,Maharashtra,West,642709,4478211,4757202,642208,121114,viac2e4qxg,Patrion,491699.87
FIO878IY,Sai Reddy,Twitter / X,28-12-2020,Chhattisgarh,Central,973138,7370982,4110438,721376,170388,55p1v3zo7u,Guest Appearance,525467.92
